gene_id	Geneid	locus_tag	gene_biotype	product	db_xref
FGSG_00029	gene:FGSG_00029	FGSG_00029	protein_coding	uncharacterized protein	GeneID:23547549
FGSG_00030	gene:FGSG_00030	FGSG_00030	protein_coding	uncharacterized protein	GeneID:23547550
FGSG_00031	gene:FGSG_00031	FGSG_00031	protein_coding	uncharacterized protein	GeneID:23547551
FGSG_00032	gene:FGSG_00032	FGSG_00032	protein_coding	uncharacterized protein	GeneID:23547552
FGSG_00033	gene:FGSG_00033	FGSG_00033	protein_coding	uncharacterized protein	GeneID:23547553
FGSG_00034	gene:FGSG_00034	FGSG_00034	protein_coding	uncharacterized protein	GeneID:23547554
FGSG_00036	gene:FGSG_00036	FGSG_00036	protein_coding	uncharacterized protein	GeneID:23547555
FGSG_00038	gene:FGSG_00038	FGSG_00038	protein_coding	uncharacterized protein	GeneID:23547556
FGSG_00039	gene:FGSG_00039	FGSG_00039	protein_coding	uncharacterized protein	GeneID:23547557
FGSG_00040	gene:FGSG_00040	FGSG_00040	protein_coding	uncharacterized protein	GeneID:23547558
FGSG_00043	gene:FGSG_00043	FGSG_00043	protein_coding	uncharacterized protein	GeneID:23547559
FGSG_00044	gene:FGSG_00044	FGSG_00044	protein_coding	uncharacterized protein	GeneID:23547560
FGSG_00045	gene:FGSG_00045	FGSG_00045	protein_coding	uncharacterized protein	GeneID:23547561
FGSG_00046	gene:FGSG_00046	FGSG_00046	protein_coding	uncharacterized protein	GeneID:23547562
FGSG_00047	gene:FGSG_00047	FGSG_00047	protein_coding	uncharacterized protein	GeneID:23547563
FGSG_00048	gene:FGSG_00048	FGSG_00048	protein_coding	uncharacterized protein	GeneID:23547564
FGSG_00049	gene:FGSG_00049	FGSG_00049	protein_coding	uncharacterized protein	GeneID:23547565
FGSG_00050	gene:FGSG_00050	FGSG_00050	protein_coding	uncharacterized protein	GeneID:23547566
FGSG_00051	gene:FGSG_00051	FGSG_00051	protein_coding	uncharacterized protein	GeneID:23547567
FGSG_00052	gene:FGSG_00052	FGSG_00052	protein_coding	uncharacterized protein	GeneID:23547568
FGSG_00053	gene:FGSG_00053	FGSG_00053	protein_coding	aryl-alcohol dehydrogenase	GeneID:23547569
FGSG_00054	gene:FGSG_00054	FGSG_00054	protein_coding	uncharacterized protein	GeneID:23547570
FGSG_00055	gene:FGSG_00055	FGSG_00055	protein_coding	uncharacterized protein	GeneID:23547571
FGSG_00056	gene:FGSG_00056	FGSG_00056	protein_coding	uncharacterized protein	GeneID:23547572
FGSG_00058	gene:FGSG_00058	FGSG_00058	protein_coding	uncharacterized protein	GeneID:23547573
FGSG_00059	gene:FGSG_00059	FGSG_00059	protein_coding	uncharacterized protein	GeneID:23547574
FGSG_00060	gene:FGSG_00060	FGSG_00060	protein_coding	uncharacterized protein	GeneID:23547575
FGSG_00061	gene:FGSG_00061	FGSG_00061	protein_coding	uncharacterized protein	GeneID:23547576
FGSG_00062	gene:FGSG_00062	FGSG_00062	protein_coding	uncharacterized protein	GeneID:23547577
FGSG_00063	gene:FGSG_00063	FGSG_00063	protein_coding	uncharacterized protein	GeneID:23547578
FGSG_00064	gene:FGSG_00064	FGSG_00064	protein_coding	uncharacterized protein	GeneID:23547579
FGSG_00065	gene:FGSG_00065	FGSG_00065	protein_coding	uncharacterized protein	GeneID:23547580
FGSG_00066	gene:FGSG_00066	FGSG_00066	protein_coding	uncharacterized protein	GeneID:23547581
FGSG_00067	gene:FGSG_00067	FGSG_00067	protein_coding	uncharacterized protein	GeneID:23547582
FGSG_00068	gene:FGSG_00068	FGSG_00068	protein_coding	alpha-galactosidase C precursor	GeneID:23547583
FGSG_00069	gene:FGSG_00069	FGSG_00069	protein_coding	uncharacterized protein	GeneID:23547584
FGSG_00070	gene:FGSG_00070	FGSG_00070	protein_coding	uncharacterized protein	GeneID:23547585
FGSG_00071	gene:FGSG_00071	FGSG_00071	protein_coding	uncharacterized protein	GeneID:23547586
FGSG_00072	gene:FGSG_00072	FGSG_00072	protein_coding	uncharacterized protein	GeneID:23547587
FGSG_00073	gene:FGSG_00073	FGSG_00073	protein_coding	uncharacterized protein	GeneID:23547588
FGSG_00074	gene:FGSG_00074	FGSG_00074	protein_coding	uncharacterized protein	GeneID:23547589
FGSG_00075	gene:FGSG_00075	FGSG_00075	protein_coding	uncharacterized protein	GeneID:23547590
FGSG_00076	gene:FGSG_00076	FGSG_00076	protein_coding	uncharacterized protein	GeneID:23547591
FGSG_00077	gene:FGSG_00077	FGSG_00077	protein_coding	uncharacterized protein	GeneID:23547592
FGSG_00078	gene:FGSG_00078	FGSG_00078	protein_coding	uncharacterized protein	GeneID:23547593
FGSG_00079	gene:FGSG_00079	FGSG_00079	protein_coding	uncharacterized protein	GeneID:23547594
FGSG_00080	gene:FGSG_00080	FGSG_00080	protein_coding	uncharacterized protein	GeneID:23547595
FGSG_00081	gene:FGSG_00081	FGSG_00081	protein_coding	uncharacterized protein	GeneID:23547596
FGSG_00082	gene:FGSG_00082	FGSG_00082	protein_coding	uncharacterized protein	GeneID:23547597
FGSG_00083	gene:FGSG_00083	FGSG_00083	protein_coding	uncharacterized protein	GeneID:23547598
FGSG_00084	gene:FGSG_00084	FGSG_00084	protein_coding	uncharacterized protein	GeneID:23547599
FGSG_00085	gene:FGSG_00085	FGSG_00085	protein_coding	uncharacterized protein	GeneID:23547600
FGSG_00087	gene:FGSG_00087	FGSG_00087	protein_coding	uncharacterized protein	GeneID:23547601
FGSG_00089	gene:FGSG_00089	FGSG_00089	protein_coding	uncharacterized protein	GeneID:23547602
FGSG_00090	gene:FGSG_00090	FGSG_00090	protein_coding	uncharacterized protein	GeneID:23547603
FGSG_00091	gene:FGSG_00091	FGSG_00091	protein_coding	uncharacterized protein	GeneID:23547604
FGSG_00092	gene:FGSG_00092	FGSG_00092	protein_coding	uncharacterized protein	GeneID:23547605
FGSG_00093	gene:FGSG_00093	FGSG_00093	protein_coding	uncharacterized protein	GeneID:23547606
FGSG_00094	gene:FGSG_00094	FGSG_00094	protein_coding	uncharacterized protein	GeneID:23547607
FGSG_00095	gene:FGSG_00095	FGSG_00095	protein_coding	uncharacterized protein	GeneID:23547608
FGSG_00096	gene:FGSG_00096	FGSG_00096	protein_coding	uncharacterized protein	GeneID:23547609
FGSG_00097	gene:FGSG_00097	FGSG_00097	protein_coding	uncharacterized protein	GeneID:23547610
FGSG_00099	gene:FGSG_00099	FGSG_00099	protein_coding	uncharacterized protein	GeneID:23547611
FGSG_00100	gene:FGSG_00100	FGSG_00100	protein_coding	uncharacterized protein	GeneID:23547612
FGSG_00101	gene:FGSG_00101	FGSG_00101	protein_coding	uncharacterized protein	GeneID:23547613
FGSG_00102	gene:FGSG_00102	FGSG_00102	protein_coding	uncharacterized protein	GeneID:23547614
FGSG_00103	gene:FGSG_00103	FGSG_00103	protein_coding	uncharacterized protein	GeneID:23547615
FGSG_00104	gene:FGSG_00104	FGSG_00104	protein_coding	uncharacterized protein	GeneID:23547616
FGSG_00105	gene:FGSG_00105	FGSG_00105	protein_coding	uncharacterized protein	GeneID:23547617
FGSG_00107	gene:FGSG_00107	FGSG_00107	protein_coding	quinate permease	GeneID:23547618
FGSG_00108	gene:FGSG_00108	FGSG_00108	protein_coding	uncharacterized protein	GeneID:23547619
FGSG_00109	gene:FGSG_00109	FGSG_00109	protein_coding	uncharacterized protein	GeneID:23547620
FGSG_00110	gene:FGSG_00110	FGSG_00110	protein_coding	uncharacterized protein	GeneID:23547621
FGSG_00111	gene:FGSG_00111	FGSG_00111	protein_coding	uncharacterized protein	GeneID:23547622
FGSG_00112	gene:FGSG_00112	FGSG_00112	protein_coding	uncharacterized protein	GeneID:23547623
FGSG_00114	gene:FGSG_00114	FGSG_00114	protein_coding	uncharacterized protein	GeneID:23547624
FGSG_00115	gene:FGSG_00115	FGSG_00115	protein_coding	uncharacterized protein	GeneID:23547625
FGSG_00116	gene:FGSG_00116	FGSG_00116	protein_coding	uncharacterized protein	GeneID:23547626
FGSG_00117	gene:FGSG_00117	FGSG_00117	protein_coding	uncharacterized protein	GeneID:23547627
FGSG_00118	gene:FGSG_00118	FGSG_00118	protein_coding	uncharacterized protein	GeneID:23547628
FGSG_00119	gene:FGSG_00119	FGSG_00119	protein_coding	uncharacterized protein	GeneID:23547629
FGSG_00120	gene:FGSG_00120	FGSG_00120	protein_coding	uncharacterized protein	GeneID:23547630
FGSG_00121	gene:FGSG_00121	FGSG_00121	protein_coding	uncharacterized protein	GeneID:23547631
FGSG_00122	gene:FGSG_00122	FGSG_00122	protein_coding	uncharacterized protein	GeneID:23547632
FGSG_00123	gene:FGSG_00123	FGSG_00123	protein_coding	uncharacterized protein	GeneID:23547633
FGSG_00124	gene:FGSG_00124	FGSG_00124	protein_coding	uncharacterized protein	GeneID:23547634
FGSG_00125	gene:FGSG_00125	FGSG_00125	protein_coding	uncharacterized protein	GeneID:23547635
FGSG_00126	gene:FGSG_00126	FGSG_00126	protein_coding	uncharacterized protein	GeneID:23547636
FGSG_00127	gene:FGSG_00127	FGSG_00127	protein_coding	uncharacterized protein	GeneID:23547637
FGSG_00128	gene:FGSG_00128	FGSG_00128	protein_coding	uncharacterized protein	GeneID:23547638
FGSG_00129	gene:FGSG_00129	FGSG_00129	protein_coding	uncharacterized protein	GeneID:23547639
FGSG_00130	gene:FGSG_00130	FGSG_00130	protein_coding	uncharacterized protein	GeneID:23547640
FGSG_00131	gene:FGSG_00131	FGSG_00131	protein_coding	uncharacterized protein	GeneID:23547641
FGSG_00132	gene:FGSG_00132	FGSG_00132	protein_coding	uncharacterized protein	GeneID:23547642
FGSG_00134	gene:FGSG_00134	FGSG_00134	protein_coding	uncharacterized protein	GeneID:23547643
FGSG_00135	gene:FGSG_00135	FGSG_00135	protein_coding	uncharacterized protein	GeneID:23547644
FGSG_00136	gene:FGSG_00136	FGSG_00136	protein_coding	uncharacterized protein	GeneID:23547645
FGSG_00137	gene:FGSG_00137	FGSG_00137	protein_coding	uncharacterized protein	GeneID:23547646
FGSG_00138	gene:FGSG_00138	FGSG_00138	protein_coding	uncharacterized protein	GeneID:23547647
FGSG_00139	gene:FGSG_00139	FGSG_00139	protein_coding	aldehyde dehydrogenase	GeneID:23547648
FGSG_00140	gene:FGSG_00140	FGSG_00140	protein_coding	uncharacterized protein	GeneID:23547649
FGSG_00141	gene:FGSG_00141	FGSG_00141	protein_coding	uncharacterized protein	GeneID:23547650
FGSG_00142	gene:FGSG_00142	FGSG_00142	protein_coding	uncharacterized protein	GeneID:23547651
FGSG_00143	gene:FGSG_00143	FGSG_00143	protein_coding	uncharacterized protein	GeneID:23547652
FGSG_00144	gene:FGSG_00144	FGSG_00144	protein_coding	uncharacterized protein	GeneID:23547653
FGSG_00145	gene:FGSG_00145	FGSG_00145	protein_coding	uncharacterized protein	GeneID:23547654
FGSG_00147	gene:FGSG_00147	FGSG_00147	protein_coding	uncharacterized protein	GeneID:23547655
FGSG_00148	gene:FGSG_00148	FGSG_00148	protein_coding	uncharacterized protein	GeneID:23547656
FGSG_00150	gene:FGSG_00150	FGSG_00150	protein_coding	uncharacterized protein	GeneID:23547657
FGSG_00151	gene:FGSG_00151	FGSG_00151	protein_coding	uncharacterized protein	GeneID:23547658
FGSG_00152	gene:FGSG_00152	FGSG_00152	protein_coding	uncharacterized protein	GeneID:23547659
FGSG_00153	gene:FGSG_00153	FGSG_00153	protein_coding	uncharacterized protein	GeneID:23547660
FGSG_00154	gene:FGSG_00154	FGSG_00154	protein_coding	uncharacterized protein	GeneID:23547661
FGSG_00156	gene:FGSG_00156	FGSG_00156	protein_coding	uncharacterized protein	GeneID:23547662
FGSG_00157	gene:FGSG_00157	FGSG_00157	protein_coding	uncharacterized protein	GeneID:23547663
FGSG_00158	gene:FGSG_00158	FGSG_00158	protein_coding	uncharacterized protein	GeneID:23547664
FGSG_00160	gene:FGSG_00160	FGSG_00160	protein_coding	uncharacterized protein	GeneID:23547665
FGSG_00161	gene:FGSG_00161	FGSG_00161	protein_coding	uncharacterized protein	GeneID:23547666
FGSG_00162	gene:FGSG_00162	FGSG_00162	protein_coding	uncharacterized protein	GeneID:23547667
FGSG_00163	gene:FGSG_00163	FGSG_00163	protein_coding	uncharacterized protein	GeneID:23547668
FGSG_00164	gene:FGSG_00164	FGSG_00164	protein_coding	uncharacterized protein	GeneID:23547669
FGSG_00165	gene:FGSG_00165	FGSG_00165	protein_coding	uncharacterized protein	GeneID:23547670
FGSG_00166	gene:FGSG_00166	FGSG_00166	protein_coding	uncharacterized protein	GeneID:23547671
FGSG_00168	gene:FGSG_00168	FGSG_00168	protein_coding	40S ribosomal protein MRP2	GeneID:23547672
FGSG_00169	gene:FGSG_00169	FGSG_00169	protein_coding	pre-mRNA splicing factor CWC25	GeneID:23547673
FGSG_00170	gene:FGSG_00170	FGSG_00170	protein_coding	Rho3 protein	GeneID:23547674
FGSG_00171	gene:FGSG_00171	FGSG_00171	protein_coding	uncharacterized protein	GeneID:23547675
FGSG_00172	gene:FGSG_00172	FGSG_00172	protein_coding	uncharacterized protein	GeneID:23547676
FGSG_00173	gene:FGSG_00173	FGSG_00173	protein_coding	uncharacterized protein	GeneID:23547677
FGSG_00174	gene:FGSG_00174	FGSG_00174	protein_coding	uncharacterized protein	GeneID:23547678
FGSG_00175	gene:FGSG_00175	FGSG_00175	protein_coding	2-methylcitrate synthase	GeneID:23547679
FGSG_00176	gene:FGSG_00176	FGSG_00176	protein_coding	isocitrate lyase	GeneID:23547680
FGSG_00177	gene:FGSG_00177	FGSG_00177	protein_coding	uncharacterized protein	GeneID:23547681
FGSG_00179	gene:FGSG_00179	FGSG_00179	protein_coding	uncharacterized protein	GeneID:23547682
FGSG_00180	gene:FGSG_00180	FGSG_00180	protein_coding	uncharacterized protein	GeneID:23547683
FGSG_00181	gene:FGSG_00181	FGSG_00181	protein_coding	uncharacterized protein	GeneID:23547684
FGSG_00182	gene:FGSG_00182	FGSG_00182	protein_coding	COP9 signalosome complex subunit 2	GeneID:23547685
FGSG_00183	gene:FGSG_00183	FGSG_00183	protein_coding	uncharacterized protein	GeneID:23547686
FGSG_00184	gene:FGSG_00184	FGSG_00184	protein_coding	uncharacterized protein	GeneID:23547687
FGSG_00185	gene:FGSG_00185	FGSG_00185	protein_coding	uncharacterized protein	GeneID:23547688
FGSG_00186	gene:FGSG_00186	FGSG_00186	protein_coding	uncharacterized protein	GeneID:23547689
FGSG_00188	gene:FGSG_00188	FGSG_00188	protein_coding	pre-mRNA-splicing factor isy-1	GeneID:23547690
FGSG_00189	gene:FGSG_00189	FGSG_00189	protein_coding	uncharacterized protein	GeneID:23547691
FGSG_00190	gene:FGSG_00190	FGSG_00190	protein_coding	uncharacterized protein	GeneID:23547692
FGSG_00192	gene:FGSG_00192	FGSG_00192	protein_coding	cerevisin precursor	GeneID:23547693
FGSG_00193	gene:FGSG_00193	FGSG_00193	protein_coding	uncharacterized protein	GeneID:23547694
FGSG_00194	gene:FGSG_00194	FGSG_00194	protein_coding	uncharacterized protein	GeneID:23547695
FGSG_00195	gene:FGSG_00195	FGSG_00195	protein_coding	uncharacterized protein	GeneID:23547696
FGSG_00196	gene:FGSG_00196	FGSG_00196	protein_coding	uncharacterized protein	GeneID:23547697
FGSG_00197	gene:FGSG_00197	FGSG_00197	protein_coding	uncharacterized protein	GeneID:23547698
FGSG_00198	gene:FGSG_00198	FGSG_00198	protein_coding	uncharacterized protein	GeneID:23547699
FGSG_00199	gene:FGSG_00199	FGSG_00199	protein_coding	uncharacterized protein	GeneID:23547700
FGSG_00200	gene:FGSG_00200	FGSG_00200	protein_coding	uncharacterized protein	GeneID:23547701
FGSG_00201	gene:FGSG_00201	FGSG_00201	protein_coding	uncharacterized protein	GeneID:23547702
FGSG_00203	gene:FGSG_00203	FGSG_00203	protein_coding	uncharacterized protein	GeneID:23547703
FGSG_00205	gene:FGSG_00205	FGSG_00205	protein_coding	uncharacterized protein	GeneID:23547704
FGSG_00206	gene:FGSG_00206	FGSG_00206	protein_coding	uncharacterized protein	GeneID:23547705
FGSG_00207	gene:FGSG_00207	FGSG_00207	protein_coding	uncharacterized protein	GeneID:23547706
FGSG_00208	gene:FGSG_00208	FGSG_00208	protein_coding	uncharacterized protein	GeneID:23547707
FGSG_00209	gene:FGSG_00209	FGSG_00209	protein_coding	uncharacterized protein	GeneID:23547708
FGSG_00210	gene:FGSG_00210	FGSG_00210	protein_coding	uncharacterized protein	GeneID:23547709
FGSG_00211	gene:FGSG_00211	FGSG_00211	protein_coding	uncharacterized protein	GeneID:23547710
FGSG_00212	gene:FGSG_00212	FGSG_00212	protein_coding	uncharacterized protein	GeneID:23547711
FGSG_00213	gene:FGSG_00213	FGSG_00213	protein_coding	uncharacterized protein	GeneID:23547712
FGSG_00214	gene:FGSG_00214	FGSG_00214	protein_coding	uncharacterized protein	GeneID:23547713
FGSG_00215	gene:FGSG_00215	FGSG_00215	protein_coding	uncharacterized protein	GeneID:23547714
FGSG_00216	gene:FGSG_00216	FGSG_00216	protein_coding	uncharacterized protein	GeneID:23547715
FGSG_00217	gene:FGSG_00217	FGSG_00217	protein_coding	uncharacterized protein	GeneID:23547716
FGSG_00218	gene:FGSG_00218	FGSG_00218	protein_coding	uncharacterized protein	GeneID:23547717
FGSG_00219	gene:FGSG_00219	FGSG_00219	protein_coding	uncharacterized protein	GeneID:23547718
FGSG_00220	gene:FGSG_00220	FGSG_00220	protein_coding	uncharacterized protein	GeneID:23547719
FGSG_00221	gene:FGSG_00221	FGSG_00221	protein_coding	uncharacterized protein	GeneID:23547720
FGSG_00222	gene:FGSG_00222	FGSG_00222	protein_coding	uncharacterized protein	GeneID:23547721
FGSG_00224	gene:FGSG_00224	FGSG_00224	protein_coding	uncharacterized protein	GeneID:23547722
FGSG_00225	gene:FGSG_00225	FGSG_00225	protein_coding	uncharacterized protein	GeneID:23547723
FGSG_00226	gene:FGSG_00226	FGSG_00226	protein_coding	uncharacterized protein	GeneID:23547724
FGSG_00227	gene:FGSG_00227	FGSG_00227	protein_coding	uncharacterized protein	GeneID:23547725
FGSG_00229	gene:FGSG_00229	FGSG_00229	protein_coding	uncharacterized protein	GeneID:23547726
FGSG_00230	gene:FGSG_00230	FGSG_00230	protein_coding	uncharacterized protein	GeneID:23547727
FGSG_00231	gene:FGSG_00231	FGSG_00231	protein_coding	uncharacterized protein	GeneID:23547728
FGSG_00232	gene:FGSG_00232	FGSG_00232	protein_coding	uncharacterized protein	GeneID:23547729
FGSG_00233	gene:FGSG_00233	FGSG_00233	protein_coding	uncharacterized protein	GeneID:23547730
FGSG_00234	gene:FGSG_00234	FGSG_00234	protein_coding	uncharacterized protein	GeneID:23547731
FGSG_00235	gene:FGSG_00235	FGSG_00235	protein_coding	uncharacterized protein	GeneID:23547732
FGSG_00236	gene:FGSG_00236	FGSG_00236	protein_coding	uncharacterized protein	GeneID:23547733
FGSG_00237	gene:FGSG_00237	FGSG_00237	protein_coding	uncharacterized protein	GeneID:23547734
FGSG_00239	gene:FGSG_00239	FGSG_00239	protein_coding	uncharacterized protein	GeneID:23547735
FGSG_00240	gene:FGSG_00240	FGSG_00240	protein_coding	uncharacterized protein	GeneID:23547736
FGSG_00242	gene:FGSG_00242	FGSG_00242	protein_coding	uncharacterized protein	GeneID:23547737
FGSG_00243	gene:FGSG_00243	FGSG_00243	protein_coding	uncharacterized protein	GeneID:23547738
FGSG_00245	gene:FGSG_00245	FGSG_00245	protein_coding	uncharacterized protein	GeneID:23547739
FGSG_00246	gene:FGSG_00246	FGSG_00246	protein_coding	uncharacterized protein	GeneID:23547740
FGSG_00247	gene:FGSG_00247	FGSG_00247	protein_coding	uncharacterized protein	GeneID:23547741
FGSG_00248	gene:FGSG_00248	FGSG_00248	protein_coding	uncharacterized protein	GeneID:23547742
FGSG_00249	gene:FGSG_00249	FGSG_00249	protein_coding	uncharacterized protein	GeneID:23547743
FGSG_00251	gene:FGSG_00251	FGSG_00251	protein_coding	galactose oxidase precursor	GeneID:23547744
FGSG_00252	gene:FGSG_00252	FGSG_00252	protein_coding	uncharacterized protein	GeneID:23547745
FGSG_00253	gene:FGSG_00253	FGSG_00253	protein_coding	uncharacterized protein	GeneID:23547746
FGSG_00254	gene:FGSG_00254	FGSG_00254	protein_coding	uncharacterized protein	GeneID:23547747
FGSG_00255	gene:FGSG_00255	FGSG_00255	protein_coding	uncharacterized protein	GeneID:23547748
FGSG_00256	gene:FGSG_00256	FGSG_00256	protein_coding	uncharacterized protein	GeneID:23547749
FGSG_00257	gene:FGSG_00257	FGSG_00257	protein_coding	uncharacterized protein	GeneID:23547750
FGSG_00258	gene:FGSG_00258	FGSG_00258	protein_coding	uncharacterized protein	GeneID:23547751
FGSG_00259	gene:FGSG_00259	FGSG_00259	protein_coding	uncharacterized protein	GeneID:23547752
FGSG_00260	gene:FGSG_00260	FGSG_00260	protein_coding	uncharacterized protein	GeneID:23547753
FGSG_00261	gene:FGSG_00261	FGSG_00261	protein_coding	uncharacterized protein	GeneID:23547754
FGSG_00262	gene:FGSG_00262	FGSG_00262	protein_coding	uncharacterized protein	GeneID:23547755
FGSG_00263	gene:FGSG_00263	FGSG_00263	protein_coding	uncharacterized protein	GeneID:23547756
FGSG_00264	gene:FGSG_00264	FGSG_00264	protein_coding	uncharacterized protein	GeneID:23547757
FGSG_00265	gene:FGSG_00265	FGSG_00265	protein_coding	uncharacterized protein	GeneID:23547758
FGSG_00266	gene:FGSG_00266	FGSG_00266	protein_coding	uncharacterized protein	GeneID:23547759
FGSG_00267	gene:FGSG_00267	FGSG_00267	protein_coding	uncharacterized protein	GeneID:23547760
FGSG_00268	gene:FGSG_00268	FGSG_00268	protein_coding	uncharacterized protein	GeneID:23547761
FGSG_00269	gene:FGSG_00269	FGSG_00269	protein_coding	uncharacterized protein	GeneID:23547762
FGSG_00270	gene:FGSG_00270	FGSG_00270	protein_coding	uncharacterized protein	GeneID:23547763
FGSG_00271	gene:FGSG_00271	FGSG_00271	protein_coding	PNG1 protein	GeneID:23547764
FGSG_00272	gene:FGSG_00272	FGSG_00272	protein_coding	uncharacterized protein	GeneID:23547765
FGSG_00273	gene:FGSG_00273	FGSG_00273	protein_coding	uncharacterized protein	GeneID:23547766
FGSG_00274	gene:FGSG_00274	FGSG_00274	protein_coding	uncharacterized protein	GeneID:23547767
FGSG_00275	gene:FGSG_00275	FGSG_00275	protein_coding	uncharacterized protein	GeneID:23547768
FGSG_00276	gene:FGSG_00276	FGSG_00276	protein_coding	uncharacterized protein	GeneID:23547769
FGSG_00277	gene:FGSG_00277	FGSG_00277	protein_coding	uncharacterized protein	GeneID:23547770
FGSG_00278	gene:FGSG_00278	FGSG_00278	protein_coding	biotin synthase	GeneID:23547771
FGSG_00279	gene:FGSG_00279	FGSG_00279	protein_coding	uncharacterized protein	GeneID:23547772
FGSG_00280	gene:FGSG_00280	FGSG_00280	protein_coding	histone acetyltransferase GCN5	GeneID:23547773
FGSG_00281	gene:FGSG_00281	FGSG_00281	protein_coding	uncharacterized protein	GeneID:23547774
FGSG_00282	gene:FGSG_00282	FGSG_00282	protein_coding	uncharacterized protein	GeneID:23547775
FGSG_00283	gene:FGSG_00283	FGSG_00283	protein_coding	uncharacterized protein	GeneID:23547776
FGSG_00284	gene:FGSG_00284	FGSG_00284	protein_coding	uncharacterized protein	GeneID:23547777
FGSG_00285	gene:FGSG_00285	FGSG_00285	protein_coding	uncharacterized protein	GeneID:23547778
FGSG_00286	gene:FGSG_00286	FGSG_00286	protein_coding	eukaryotic translation initiation factor 4E-2	GeneID:23547779
FGSG_00287	gene:FGSG_00287	FGSG_00287	protein_coding	uncharacterized protein	GeneID:23547780
FGSG_00288	gene:FGSG_00288	FGSG_00288	protein_coding	uncharacterized protein	GeneID:23547781
FGSG_00289	gene:FGSG_00289	FGSG_00289	protein_coding	uncharacterized protein	GeneID:23547782
FGSG_00291	gene:FGSG_00291	FGSG_00291	protein_coding	uncharacterized protein	GeneID:23547783
FGSG_00292	gene:FGSG_00292	FGSG_00292	protein_coding	uncharacterized protein	GeneID:23547784
FGSG_00293	gene:FGSG_00293	FGSG_00293	protein_coding	uncharacterized protein	GeneID:23547785
FGSG_00294	gene:FGSG_00294	FGSG_00294	protein_coding	uncharacterized protein	GeneID:23547786
FGSG_00295	gene:FGSG_00295	FGSG_00295	protein_coding	uncharacterized protein	GeneID:23547787
FGSG_00296	gene:FGSG_00296	FGSG_00296	protein_coding	threonine dehydratase	GeneID:23547788
FGSG_00297	gene:FGSG_00297	FGSG_00297	protein_coding	uncharacterized protein	GeneID:23547789
FGSG_00298	gene:FGSG_00298	FGSG_00298	protein_coding	uncharacterized protein	GeneID:23547790
FGSG_00299	gene:FGSG_00299	FGSG_00299	protein_coding	uncharacterized protein	GeneID:23547791
FGSG_00300	gene:FGSG_00300	FGSG_00300	protein_coding	ATP synthase subunit 5	GeneID:23547792
FGSG_00301	gene:FGSG_00301	FGSG_00301	protein_coding	maintenance of ploidy protein mob1	GeneID:23547793
FGSG_00302	gene:FGSG_00302	FGSG_00302	protein_coding	uncharacterized protein	GeneID:23547794
