GO_ID	term_name
GO:0005519	cytoskeletal regulatory protein binding
GO:0005550	pheromone binding
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding
GO:0005525	GTP binding
GO:0005524	ATP binding
GO:0005527	macrolide binding
GO:0005543	phospholipid binding
GO:0005545	1-phosphatidylinositol binding
GO:0005544	calcium-dependent phospholipid binding
GO:0005536	D-glucose binding
GO:0005537	D-mannose binding
GO:0005539	glycosaminoglycan binding
GO:0005102	signaling receptor binding
GO:0005078	MAP kinase scaffold activity
GO:0005080	protein kinase C binding
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0005053	peroxisome matrix targeting signal-2 binding
GO:0005052	peroxisome matrix targeting signal-1 binding
GO:0005093	Rab GDP-dissociation inhibitor activity
GO:0005092	GDP-dissociation inhibitor activity
GO:0005094	Rho GDP-dissociation inhibitor activity
GO:0005096	GTPase activator activity
GO:0005200	structural constituent of cytoskeleton
GO:0005313	L-glutamate transmembrane transporter activity
GO:0005324	long-chain fatty acid transmembrane transporter activity
GO:0005315	phosphate transmembrane transporter activity
GO:0005319	lipid carrier activity
GO:0005302	L-tyrosine transmembrane transporter activity
GO:0005351	carbohydrate:proton symporter activity
GO:0005366	myo-inositol:proton symporter activity
GO:0005345	purine nucleobase transmembrane transporter activity
GO:0005347	ATP transmembrane transporter activity
GO:0005337	nucleoside transmembrane transporter activity
GO:0005391	P-type sodium:potassium-exchanging transporter activity
GO:0005371	tricarboxylate secondary active transmembrane transporter activity
GO:0005375	copper ion transmembrane transporter activity
GO:0005381	iron ion transmembrane transporter activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0005384	manganese ion transmembrane transporter activity
GO:0005388	P-type calcium transporter activity
GO:0005290	L-histidine transmembrane transporter activity
GO:0005471	ATP:ADP antiporter activity
GO:0005484	SNAP receptor activity
GO:0005483	soluble NSF attachment protein activity
GO:0005452	solute:inorganic anion antiporter activity
GO:0005460	UDP-glucose transmembrane transporter activity
GO:0005462	UDP-N-acetylglucosamine transmembrane transporter activity
GO:0005459	UDP-galactose transmembrane transporter activity
GO:0005458	GDP-mannose transmembrane transporter activity
GO:0005034	osmosensor activity
GO:0005048	signal sequence receptor activity
GO:0005047	signal recognition particle binding
GO:0005049	nuclear export signal receptor activity
GO:0005871	kinesin complex
GO:0005874	microtubule
GO:0005868	cytoplasmic dynein complex
GO:0005869	dynactin complex
GO:0005881	cytoplasmic microtubule
GO:0005884	actin filament
GO:0005886	plasma membrane
GO:0005885	Arp2/3 protein complex
GO:0005876	spindle microtubule
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005844	obsolete polysome
GO:0005846	nuclear cap binding complex
GO:0005845	obsolete mRNA cap binding complex
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex
GO:0005849	mRNA cleavage factor complex
GO:0005854	nascent polypeptide-associated complex
GO:0005856	cytoskeleton
GO:0005891	voltage-gated calcium channel complex
GO:0005823	central plaque of spindle pole body
GO:0005826	actomyosin contractile ring
GO:0005829	cytosol
GO:0005840	ribosome
GO:0005832	chaperonin-containing T-complex
GO:0005835	fatty acid synthase complex
GO:0005834	heterotrimeric G-protein complex
GO:0005839	proteasome core complex
GO:0005838	proteasome regulatory particle
GO:0005811	lipid droplet
GO:0005813	centrosome
GO:0005815	microtubule organizing center
GO:0005816	spindle pole body
GO:0005819	spindle
GO:0005990	lactose catabolic process
GO:0005992	trehalose biosynthetic process
GO:0005993	trehalose catabolic process
GO:0005987	sucrose catabolic process
GO:0005986	sucrose biosynthetic process
GO:0005997	xylulose metabolic process
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0005965	protein farnesyltransferase complex
GO:0005967	obsolete mitochondrial pyruvate dehydrogenase complex
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0005980	glycogen catabolic process
GO:0005975	carbohydrate metabolic process
GO:0005978	glycogen biosynthetic process
GO:0005977	glycogen metabolic process
GO:0005979	regulation of glycogen biosynthetic process
GO:0005902	microvillus
GO:0005905	clathrin-coated pit
GO:0005952	cAMP-dependent protein kinase complex
GO:0005951	carbamoyl-phosphate synthase complex
GO:0005945	6-phosphofructokinase complex
GO:0005947	obsolete mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0005946	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
GO:0005948	acetolactate synthase complex
GO:0005960	glycine cleavage complex
GO:0005953	CAAX-protein geranylgeranyltransferase complex
GO:0005956	protein kinase CK2 complex
GO:0005955	calcineurin complex
GO:0005940	septin ring
GO:0005935	cellular bud neck
GO:0005938	cell cortex
GO:0006260	DNA replication
GO:0006261	DNA-templated DNA replication
GO:0006264	mitochondrial DNA replication
GO:0006265	DNA topological change
GO:0006268	obsolete DNA unwinding involved in DNA replication
GO:0006269	DNA replication, synthesis of primer
GO:0006270	DNA replication initiation
GO:0006273	lagging strand elongation
GO:0006271	DNA strand elongation involved in DNA replication
GO:0006272	leading strand elongation
GO:0006275	regulation of DNA replication
GO:0006002	fructose 6-phosphate metabolic process
GO:0006003	fructose 2,6-bisphosphate metabolic process
GO:0006000	fructose metabolic process
GO:0006006	glucose metabolic process
GO:0006007	glucose catabolic process
GO:0006004	fucose metabolic process
GO:0006013	mannose metabolic process
GO:0006014	D-ribose metabolic process
GO:0006011	UDP-alpha-D-glucose metabolic process
GO:0006012	galactose metabolic process
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0006121	mitochondrial electron transport, succinate to ubiquinone
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0006139	nucleobase-containing compound metabolic process
GO:0006101	citrate metabolic process
GO:0006102	isocitrate metabolic process
GO:0006105	succinate metabolic process
GO:0006106	fumarate metabolic process
GO:0006103	2-oxoglutarate metabolic process
GO:0006104	succinyl-CoA metabolic process
GO:0006113	fermentation
GO:0006116	obsolete NADH oxidation
GO:0006107	oxaloacetate metabolic process
GO:0006108	malate metabolic process
GO:0006043	D-glucosamine catabolic process
GO:0006046	N-acetylglucosamine catabolic process
GO:0006047	UDP-N-acetylglucosamine metabolic process
GO:0006044	N-acetylglucosamine metabolic process
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0006020	inositol metabolic process
GO:0006021	inositol biosynthetic process
GO:0006024	glycosaminoglycan biosynthetic process
GO:0006032	chitin catabolic process
GO:0006037	obsolete cell wall chitin metabolic process
GO:0006038	obsolete cell wall chitin biosynthetic process
GO:0006083	acetate metabolic process
GO:0006081	aldehyde metabolic process
GO:0006086	pyruvate decarboxylation to acetyl-CoA
GO:0006084	acetyl-CoA metabolic process
GO:0006085	acetyl-CoA biosynthetic process
GO:0006089	lactate metabolic process
GO:0006094	gluconeogenesis
GO:0006097	glyoxylate cycle
GO:0006098	pentose-phosphate shunt
GO:0006096	glycolytic process
GO:0006099	tricarboxylic acid cycle
GO:0006090	pyruvate metabolic process
GO:0006062	D-sorbitol catabolic process
GO:0006069	obsolete ethanol oxidation
GO:0006066	alcohol metabolic process
GO:0006071	glycerol metabolic process
GO:0006072	glycerol-3-phosphate metabolic process
GO:0006075	(1->3)-beta-D-glucan biosynthetic process
GO:0006078	(1->6)-beta-D-glucan biosynthetic process
GO:0006183	GTP biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0006190	inosine salvage
GO:0006198	cAMP catabolic process
GO:0006325	chromatin organization
GO:0006337	nucleosome disassembly
GO:0006334	nucleosome assembly
GO:0006335	DNA replication-dependent chromatin assembly
GO:0006303	double-strand break repair via nonhomologous end joining
GO:0006301	DNA damage tolerance
GO:0006302	double-strand break repair
GO:0006310	DNA recombination
GO:0006312	mitotic recombination
GO:0006307	DNA alkylation repair
GO:0006308	DNA catabolic process
GO:0006309	apoptotic DNA fragmentation
GO:0006361	transcription initiation at RNA polymerase I promoter
GO:0006362	transcription elongation by RNA polymerase I
GO:0006360	transcription by RNA polymerase I
GO:0006366	transcription by RNA polymerase II
GO:0006364	rRNA processing
GO:0006367	transcription initiation at RNA polymerase II promoter
GO:0006338	chromatin remodeling
GO:0006351	DNA-templated transcription
GO:0006355	regulation of DNA-templated transcription
GO:0006352	DNA-templated transcription initiation
GO:0006359	regulation of transcription by RNA polymerase III
GO:0006356	regulation of transcription by RNA polymerase I
GO:0006357	regulation of transcription by RNA polymerase II
GO:0006281	DNA repair
GO:0006284	base-excision repair
GO:0006285	base-excision repair, AP site formation
GO:0006282	regulation of DNA repair
GO:0006283	transcription-coupled nucleotide-excision repair
GO:0006288	obsolete base-excision repair, DNA ligation
GO:0006289	nucleotide-excision repair
GO:0006287	base-excision repair, gap-filling
GO:0006294	nucleotide-excision repair, preincision complex assembly
GO:0006297	nucleotide-excision repair, DNA gap filling
GO:0006298	mismatch repair
GO:0006203	dGTP catabolic process
GO:0006210	thymine catabolic process
GO:0006206	pyrimidine nucleobase metabolic process
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0006241	CTP biosynthetic process
GO:0006253	dCTP catabolic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006226	dUMP biosynthetic process
GO:0006227	dUDP biosynthetic process
GO:0006225	UDP biosynthetic process
GO:0006233	dTDP biosynthetic process
GO:0006231	dTMP biosynthetic process
GO:0006235	dTTP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006163	purine nucleotide metabolic process
GO:0006164	purine nucleotide biosynthetic process
GO:0006167	AMP biosynthetic process
GO:0006168	adenine salvage
GO:0006166	purine ribonucleoside salvage
GO:0006171	cAMP biosynthetic process
GO:0006172	ADP biosynthetic process
GO:0006177	GMP biosynthetic process
GO:0006145	purine nucleobase catabolic process
GO:0006146	adenine catabolic process
GO:0006144	purine nucleobase metabolic process
GO:0006147	guanine catabolic process
GO:0006152	purine nucleoside catabolic process
GO:0006154	adenosine catabolic process
GO:0006611	protein export from nucleus
GO:0006612	protein targeting to membrane
GO:0006605	protein targeting
GO:0006606	protein import into nucleus
GO:0006607	NLS-bearing protein import into nucleus
GO:0006641	triglyceride metabolic process
GO:0006644	phospholipid metabolic process
GO:0006637	acyl-CoA metabolic process
GO:0006635	fatty acid beta-oxidation
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0006656	phosphatidylcholine biosynthetic process
GO:0006654	phosphatidic acid biosynthetic process
GO:0006646	phosphatidylethanolamine biosynthetic process
GO:0006623	protein targeting to vacuole
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane
GO:0006621	protein retention in ER lumen
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition
GO:0006633	fatty acid biosynthetic process
GO:0006631	fatty acid metabolic process
GO:0006626	obsolete protein targeting to mitochondrion
GO:0006627	obsolete protein processing involved in protein targeting to mitochondrion
GO:0006624	vacuolar protein processing
GO:0006625	protein targeting to peroxisome
GO:0006629	lipid metabolic process
GO:0006685	sphingomyelin catabolic process
GO:0006689	ganglioside catabolic process
GO:0006679	glucosylceramide biosynthetic process
GO:0006695	cholesterol biosynthetic process
GO:0006696	ergosterol biosynthetic process
GO:0006694	steroid biosynthetic process
GO:0006661	phosphatidylinositol biosynthetic process
GO:0006666	3-keto-sphinganine metabolic process
GO:0006665	sphingolipid metabolic process
GO:0006657	CDP-choline pathway
GO:0006673	inositol phosphoceramide metabolic process
GO:0006672	ceramide metabolic process
GO:0006725	obsolete cellular aromatic compound metabolic process
GO:0006729	tetrahydrobiopterin biosynthetic process
GO:0006760	folic acid-containing compound metabolic process
GO:0006772	thiamine metabolic process
GO:0006777	Mo-molybdopterin cofactor biosynthetic process
GO:0006740	NADPH regeneration
GO:0006744	ubiquinone biosynthetic process
GO:0006741	NADP+ biosynthetic process
GO:0006742	NADP+ catabolic process
GO:0006734	obsolete NADH metabolic process
GO:0006750	glutathione biosynthetic process
GO:0006751	glutathione catabolic process
GO:0006754	ATP biosynthetic process
GO:0006753	nucleoside phosphate metabolic process
GO:0006747	FAD biosynthetic process
GO:0006749	glutathione metabolic process
GO:0006780	uroporphyrinogen III biosynthetic process
GO:0006783	heme biosynthetic process
GO:0006784	heme A biosynthetic process
GO:0006782	obsolete protoporphyrinogen IX biosynthetic process
GO:0006788	heme oxidation
GO:0006798	polyphosphate catabolic process
GO:0006796	phosphate-containing compound metabolic process
GO:0006797	polyphosphate metabolic process
GO:0006843	mitochondrial citrate transmembrane transport
GO:0006833	water transport
GO:0006839	mitochondrial transport
GO:0006850	pyruvate import into mitochondria
GO:0006820	monoatomic anion transport
GO:0006821	chloride transport
GO:0006813	potassium ion transport
GO:0006814	sodium ion transport
GO:0006811	monoatomic ion transport
GO:0006812	monoatomic cation transport
GO:0006817	phosphate ion transport
GO:0006825	copper ion transport
GO:0006828	manganese ion transport
GO:0006829	zinc ion transport
GO:0006826	iron ion transport
GO:0006882	intracellular zinc ion homeostasis
GO:0006883	intracellular sodium ion homeostasis
GO:0006880	obsolete intracellular sequestering of iron ion
GO:0006886	intracellular protein transport
GO:0006884	cell volume homeostasis
GO:0006879	intracellular iron ion homeostasis
GO:0006878	intracellular copper ion homeostasis
GO:0006865	amino acid transport
GO:0006862	nucleotide transport
GO:0006857	oligopeptide transport
GO:0006874	intracellular calcium ion homeostasis
GO:0006869	lipid transport
GO:0006520	amino acid metabolic process
GO:0006516	glycoprotein catabolic process
GO:0006517	protein deglycosylation
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
GO:0006518	peptide metabolic process
GO:0006535	obsolete L-cysteine biosynthetic process from L-serine
GO:0006532	L-aspartate biosynthetic process
GO:0006533	L-aspartate catabolic process
GO:0006528	asparagine metabolic process
GO:0006525	arginine metabolic process
GO:0006526	L-arginine biosynthetic process
GO:0006529	obsolete asparagine biosynthetic process
GO:0006501	C-terminal protein lipidation
GO:0006513	protein monoubiquitination
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0006505	GPI anchor metabolic process
GO:0006506	GPI anchor biosynthetic process
GO:0006508	proteolysis
GO:0006563	L-serine metabolic process
GO:0006564	L-serine biosynthetic process
GO:0006561	obsolete proline biosynthetic process
GO:0006567	L-threonine catabolic process
GO:0006565	L-serine catabolic process
GO:0006566	L-threonine metabolic process
GO:0006559	L-phenylalanine catabolic process
GO:0006570	obsolete tyrosine metabolic process
GO:0006571	L-tyrosine biosynthetic process
GO:0006574	L-valine catabolic process
GO:0006572	L-tyrosine catabolic process
GO:0006569	L-tryptophan catabolic process
GO:0006541	L-glutamine metabolic process
GO:0006542	obsolete glutamine biosynthetic process
GO:0006545	glycine biosynthetic process
GO:0006546	glycine catabolic process
GO:0006543	L-glutamine catabolic process
GO:0006538	L-glutamate catabolic process
GO:0006537	obsolete glutamate biosynthetic process
GO:0006552	L-leucine catabolic process
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0006581	acetylcholine catabolic process
GO:0006582	melanin metabolic process
GO:0006592	L-ornithine biosynthetic process
GO:0006596	polyamine biosynthetic process
GO:0006597	spermine biosynthetic process
GO:0006810	transport
GO:0006801	superoxide metabolic process
GO:0006807	obsolete nitrogen compound metabolic process
GO:0006808	regulation of nitrogen utilization
GO:0006402	mRNA catabolic process
GO:0006400	tRNA modification
GO:0006401	RNA catabolic process
GO:0006413	translational initiation
GO:0006414	translational elongation
GO:0006412	translation
GO:0006406	mRNA export from nucleus
GO:0006405	RNA export from nucleus
GO:0006409	tRNA export from nucleus
GO:0006446	regulation of translational initiation
GO:0006437	tyrosyl-tRNA aminoacylation
GO:0006438	valyl-tRNA aminoacylation
GO:0006450	regulation of translational fidelity
GO:0006457	protein folding
GO:0006449	regulation of translational termination
GO:0006420	arginyl-tRNA aminoacylation
GO:0006421	asparaginyl-tRNA aminoacylation
GO:0006424	glutamyl-tRNA aminoacylation
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0006422	aspartyl-tRNA aminoacylation
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0006417	regulation of translation
GO:0006415	translational termination
GO:0006419	alanyl-tRNA aminoacylation
GO:0006431	methionyl-tRNA aminoacylation
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0006430	lysyl-tRNA aminoacylation
GO:0006435	threonyl-tRNA aminoacylation
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0006433	prolyl-tRNA aminoacylation
GO:0006434	seryl-tRNA aminoacylation
GO:0006428	isoleucyl-tRNA aminoacylation
GO:0006429	leucyl-tRNA aminoacylation
GO:0006482	protein demethylation
GO:0006480	N-terminal protein amino acid methylation
GO:0006481	C-terminal protein methylation
GO:0006486	obsolete protein glycosylation
GO:0006487	protein N-linked glycosylation
GO:0006488	dolichol-linked oligosaccharide biosynthetic process
GO:0006490	obsolete oligosaccharide-lipid intermediate biosynthetic process
GO:0006493	protein O-linked glycosylation
GO:0006491	N-glycan processing
GO:0006497	protein lipidation
GO:0006465	obsolete signal peptide processing
GO:0006468	protein phosphorylation
GO:0006469	negative regulation of protein kinase activity
GO:0006470	protein dephosphorylation
GO:0006473	protein acetylation
GO:0006383	transcription by RNA polymerase III
GO:0006384	transcription initiation at RNA polymerase III promoter
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0006386	termination of RNA polymerase III transcription
GO:0006390	mitochondrial transcription
GO:0006391	transcription initiation at mitochondrial promoter
GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage
GO:0006399	tRNA metabolic process
GO:0006396	RNA processing
GO:0006397	mRNA processing
GO:0006369	termination of RNA polymerase II transcription
GO:0006368	transcription elongation by RNA polymerase II
GO:0006370	7-methylguanosine mRNA capping
GO:0006376	mRNA splice site recognition
GO:0006378	obsolete mRNA polyadenylation
GO:0006887	exocytosis
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
GO:0006893	Golgi to plasma membrane transport
GO:0006891	intra-Golgi vesicle-mediated transport
GO:0006892	post-Golgi vesicle-mediated transport
GO:0006897	endocytosis
GO:0006898	receptor-mediated endocytosis
GO:0006895	Golgi to endosome transport
GO:0006896	Golgi to vacuole transport
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0006974	DNA damage response
GO:0006972	hyperosmotic response
GO:0006952	defense response
GO:0006998	nuclear envelope organization
GO:0006999	nuclear pore organization
GO:0006979	response to oxidative stress
GO:0006995	cellular response to nitrogen starvation
GO:0006913	nucleocytoplasmic transport
GO:0006914	autophagy
GO:0006915	apoptotic process
GO:0006900	vesicle budding from membrane
GO:0006906	vesicle fusion
GO:0006904	vesicle docking involved in exocytosis
GO:0008422	beta-glucosidase activity
GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
GO:0008425	2-methoxy-6-polyprenyl-1,4-benzoquinol methyltransferase activity
GO:0008419	RNA lariat debranching enzyme activity
GO:0008418	protein-N-terminal asparagine amidohydrolase activity
GO:0008429	phosphatidylethanolamine binding
GO:0008412	4-hydroxybenzoate polyprenyltransferase activity
GO:0008409	5'-3' exonuclease activity
GO:0008408	3'-5' exonuclease activity
GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity
GO:0008320	transmembrane protein transporter activity
GO:0008324	monoatomic cation transmembrane transporter activity
GO:0008318	protein prenyltransferase activity
GO:0008331	high voltage-gated calcium channel activity
GO:0008330	protein tyrosine/threonine phosphatase activity
GO:0008333	endosome to lysosome transport
GO:0008381	mechanosensitive monoatomic ion channel activity
GO:0008380	RNA splicing
GO:0008395	steroid hydroxylase activity
GO:0008360	regulation of cell shape
GO:0008375	acetylglucosaminyltransferase activity
GO:0008374	obsolete O-acyltransferase activity
GO:0008379	thioredoxin peroxidase activity
GO:0008298	intracellular mRNA localization
GO:0008296	3'-5'-DNA exonuclease activity
GO:0008295	spermidine biosynthetic process
GO:0008299	isoprenoid biosynthetic process
GO:0008290	F-actin capping protein complex
GO:0008180	COP9 signalosome
GO:0008195	phosphatidate phosphatase activity
GO:0008194	UDP-glycosyltransferase activity
GO:0008193	tRNA guanylyltransferase activity
GO:0008199	ferric iron binding
GO:0008198	ferrous iron binding
GO:0008160	protein tyrosine phosphatase activator activity
GO:0008168	methyltransferase activity
GO:0008173	RNA methyltransferase activity
GO:0008171	O-methyltransferase activity
GO:0008177	succinate dehydrogenase (quinone) activity
GO:0008176	tRNA (guanine(46)-N7)-methyltransferase activity
GO:0008175	tRNA methyltransferase activity
GO:0008179	adenylate cyclase binding
GO:0008301	DNA binding, bending
GO:0008312	7S RNA binding
GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity
GO:0008310	single-stranded DNA 3'-5' DNA exonuclease activity
GO:0008308	voltage-gated monoatomic anion channel activity
GO:0008236	serine-type peptidase activity
GO:0008235	metalloexopeptidase activity
GO:0008234	cysteine-type peptidase activity
GO:0008233	peptidase activity
GO:0008239	dipeptidyl-peptidase activity
GO:0008237	metallopeptidase activity
GO:0008202	steroid metabolic process
GO:0008204	ergosterol metabolic process
GO:0008260	succinyl-CoA:3-oxo-acid CoA-transferase activity
GO:0008265	molybdenum cofactor sulfurtransferase activity
GO:0008266	poly(U) RNA binding
GO:0008272	obsolete sulfate transport
GO:0008271	secondary active sulfate transmembrane transporter activity
GO:0008270	zinc ion binding
GO:0008276	protein methyltransferase activity
GO:0008275	gamma-tubulin small complex
GO:0008273	calcium, potassium:sodium antiporter activity
GO:0008278	cohesin complex
GO:0008277	regulation of G protein-coupled receptor signaling pathway
GO:0008240	tripeptidyl-peptidase activity
GO:0008250	oligosaccharyltransferase complex
GO:0008252	nucleotidase activity
GO:0008283	cell population proliferation
GO:0008285	negative regulation of cell population proliferation
GO:0008289	lipid binding
GO:0008506	sucrose:proton symporter activity
GO:0008521	acetyl-CoA transmembrane transporter activity
GO:0008526	phosphatidylinositol transfer activity
GO:0008519	ammonium channel activity
GO:0008517	folic acid transmembrane transporter activity
GO:0008460	dTDP-glucose 4,6-dehydratase activity
GO:0008469	obsolete histone arginine N-methyltransferase activity
GO:0008470	3-methylbutanoyl-CoA dehydrogenase activity
GO:0008474	palmitoyl-(protein) hydrolase activity
GO:0008478	pyridoxal kinase activity
GO:0008477	purine nucleosidase activity
GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity
GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity
GO:0008449	N-acetylglucosamine-6-sulfatase activity
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
GO:0008453	L-alanine:glyoxylate transaminase activity
GO:0008484	sulfuric ester hydrolase activity
GO:0008483	transaminase activity
GO:0008486	diphosphoinositol-polyphosphate diphosphatase activity
GO:0008496	mannan endo-1,6-alpha-mannosidase activity
GO:0008495	protoheme IX farnesyltransferase activity
GO:0008104	intracellular protein localization
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0008106	alcohol dehydrogenase (NADP+) activity
GO:0008115	sarcosine oxidase activity
GO:0008113	peptide-methionine (S)-S-oxide reductase activity
GO:0008117	sphinganine-1-phosphate aldolase activity
GO:0008143	poly(A) binding
GO:0008142	oxysterol binding
GO:0008146	sulfotransferase activity
GO:0008157	protein phosphatase 1 binding
GO:0008121	quinol-cytochrome-c reductase activity
GO:0008120	ceramide glucosyltransferase activity
GO:0008126	acetylesterase activity
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
GO:0008131	primary methylamine oxidase activity
GO:0008137	NADH dehydrogenase (ubiquinone) activity
GO:0008134	transcription factor binding
GO:0008139	nuclear localization sequence binding
GO:0008138	protein tyrosine/serine/threonine phosphatase activity
GO:0008184	glycogen phosphorylase activity
GO:0008187	poly-pyrimidine tract binding
GO:0008023	transcription elongation factor complex
GO:0008024	cyclin/CDK positive transcription elongation factor complex
GO:0008033	tRNA processing
GO:0008017	microtubule binding
GO:0008061	chitin binding
GO:0008073	ornithine decarboxylase inhibitor activity
GO:0008047	enzyme activator activity
GO:0008053	mitochondrial fusion
GO:0008081	phosphoric diester hydrolase activity
GO:0008080	N-acetyltransferase activity
GO:0008094	ATP-dependent activity, acting on DNA
GO:0008097	5S rRNA binding
GO:0008092	cytoskeletal protein binding
GO:0007100	mitotic centrosome separation
GO:0007010	cytoskeleton organization
GO:0007015	actin filament organization
GO:0007018	microtubule-based movement
GO:0007017	microtubule-based process
GO:0007021	tubulin complex assembly
GO:0007020	microtubule nucleation
GO:0007023	post-chaperonin tubulin folding pathway
GO:0007029	endoplasmic reticulum organization
GO:0007004	telomere maintenance via telomerase
GO:0007007	inner mitochondrial membrane organization
GO:0007005	mitochondrion organization
GO:0007052	mitotic spindle organization
GO:0007059	chromosome segregation
GO:0007062	sister chromatid cohesion
GO:0007064	mitotic sister chromatid cohesion
GO:0007032	endosome organization
GO:0007033	vacuole organization
GO:0007030	Golgi organization
GO:0007031	peroxisome organization
GO:0007034	vacuolar transport
GO:0007035	vacuolar acidification
GO:0007039	protein catabolic process in the vacuole
GO:0007040	lysosome organization
GO:0007041	lysosomal transport
GO:0007094	mitotic spindle assembly checkpoint signaling
GO:0007095	mitotic G2 DNA damage checkpoint signaling
GO:0007096	regulation of exit from mitosis
GO:0007091	metaphase/anaphase transition of mitotic cell cycle
GO:0007076	mitotic chromosome condensation
GO:0007131	reciprocal meiotic recombination
GO:0007130	synaptonemal complex assembly
GO:0007186	G protein-coupled receptor signaling pathway
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0007155	cell adhesion
GO:0007165	signal transduction
GO:0007163	establishment or maintenance of cell polarity
GO:0007166	cell surface receptor signaling pathway
GO:0007584	response to nutrient
GO:0007623	circadian rhythm
GO:0007346	regulation of mitotic cell cycle
GO:0007264	small GTPase-mediated signal transduction
GO:0007265	Ras protein signal transduction
GO:0007266	Rho protein signal transduction
GO:0007231	osmosensory signaling pathway
GO:0007234	osmosensory signaling via phosphorelay pathway
GO:0007232	osmosensory signaling pathway via Sho1 osmosensor
GO:0007249	canonical NF-kappaB signal transduction
GO:0008623	CHRAC
GO:0008622	epsilon DNA polymerase complex
GO:0008615	pyridoxine biosynthetic process
GO:0008603	cAMP-dependent protein kinase regulator activity
GO:0008610	lipid biosynthetic process
GO:0008614	pyridoxine metabolic process
GO:0008612	peptidyl-hypusine biosynthetic process
GO:0008608	attachment of spindle microtubules to kinetochore
GO:0008660	1-aminocyclopropane-1-carboxylate deaminase activity
GO:0008670	2,4-dienoyl-CoA reductase (NADPH) activity
GO:0008677	2-dehydropantoate 2-reductase activity
GO:0008643	carbohydrate transport
GO:0008641	ubiquitin-like modifier activating enzyme activity
GO:0008637	apoptotic mitochondrial changes
GO:0008650	rRNA (uridine-2'-O-ribose)-methyltransferase activity
GO:0008654	phospholipid biosynthetic process
GO:0008649	rRNA methyltransferase activity
GO:0008597	calcium-dependent protein serine/threonine phosphatase regulator activity
GO:0008569	minus-end-directed microtubule motor activity
GO:0008574	plus-end-directed microtubule motor activity
GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0008746	obsolete NAD(P)+ transhydrogenase activity
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0008747	N-acetylneuraminate lyase activity
GO:0008720	D-lactate dehydrogenase (NAD+) activity
GO:0008721	D-serine ammonia-lyase activity
GO:0008734	L-aspartate oxidase activity
GO:0008732	L-allo-threonine aldolase activity
GO:0008725	DNA-3-methyladenine glycosylase activity
GO:0008783	agmatinase activity
GO:0008793	aromatic-amino-acid:2-oxoglutarate transaminase activity
