# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-t" "exon" "-g" "gene_id" "-s" "2" "-a" "/mnt/d/BioInf/Task_2/Reference_genome/Fusarium_graminearum_ph_1_gca_000240135.ASM24013v3.62.gtf" "-o" "/mnt/d/BioInf/Task_2/Quantification_results/SRR10408675/counts.txt" "/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam
gene:FGSG_11668	1;1	265150;265533	265485;265721	+;+	525	0
gene:FGSG_00065	1	266071	267171	-	1101	0
gene:FGSG_00066	1;1;1	269663;269732;269992	269685;269937;270812	+;+;+	1050	32
gene:FGSG_00067	1;1	271490;271736	271679;273108	+;+	1563	2
gene:FGSG_00068	1;1;1	273609;273691;274341	273639;274294;275883	+;+;+	2178	7
gene:FGSG_00069	1;1;1	276023;276504;277006	276457;276954;277961	-;-;-	1842	110
gene:FGSG_00070	1	278458	280095	+	1638	10
gene:FGSG_00071	1;1;1;1;1	282579;283020;283188;283305;283933	282965;283125;283256;283880;284643	+;+;+;+;+	1849	268
gene:FGSG_00072	1;1;1	284830;285118;285251	284885;285194;285954	+;+;+	837	48
gene:FGSG_00073	1;1	286351;286512	286453;287419	-;-	1011	0
gene:FGSG_00074	1	288142	289470	+	1329	2
gene:FGSG_00075	1	290123	291805	+	1683	0
gene:FGSG_00076	1;1;1;1	292309;292474;293510;293612	292408;293455;293560;293909	-;-;-;-	1431	0
gene:FGSG_00077	1;1;1	295187;295524;295786	295455;295729;296282	+;+;+	972	0
gene:FGSG_00078	1;1;1;1;1;1	296930;297143;297297;297498;297662;297909	297088;297221;297437;297611;297856;298204	+;+;+;+;+;+	984	0
gene:FGSG_00079	1	298436	299677	-	1242	0
gene:FGSG_00080	1	300590	301621	-	1032	18
gene:FGSG_00081	1;1;1	302659;302927;304807	302861;304677;304955	-;-;-	2103	51
gene:FGSG_00082	1	305587	307191	-	1605	94
gene:FGSG_00083	1;1;1;1;1;1	307755;308027;308238;309256;309507;309613	307961;308182;309199;309444;309552;309633	+;+;+;+;+;+	1581	0
gene:FGSG_00084	1	309797	310918	-	1122	14
gene:FGSG_00085	1;1;1;1;1;1;1;1	311738;312021;312133;312400;312770;312946;313296;313450	311967;312073;312350;312720;312894;313246;313395;313574	+;+;+;+;+;+;+;+	1473	0
gene:FGSG_11669	1	314118	316202	+	2085	0
gene:FGSG_11670	1;1	316378;316648	316598;316804	+;+	378	2
gene:FGSG_00087	1;1;1	317156;317548;318680	317489;318619;318824	-;-;-	1551	0
gene:FGSG_11671	1;1;1;1	319464;319617;320287;321613	319560;320223;321550;322170	+;+;+;+	2526	0
gene:FGSG_11672	1;1	322508;324047	324016;324085	+;+	1548	15
gene:FGSG_00089	1;1;1;1;1	324715;325021;325263;325417;325639	324969;325193;325356;325578;325737	+;+;+;+;+	783	0
gene:FGSG_00090	1;1	326072;326840	326776;327097	-;-	963	4
gene:FGSG_00091	1	327527	329224	+	1698	0
gene:FGSG_11673	1;1;1;1;1	329412;329789;330117;330531;330781	329449;330065;330476;330725;330837	-;-;-;-;-	927	2
gene:FGSG_00092	1;1;1;1;1	332138;332231;332379;332592;332709	332180;332327;332530;332653;333683	+;+;+;+;+	1329	10
gene:FGSG_00093	1	334412	335221	+	810	12
gene:FGSG_00094	1	335806	336384	-	579	0
gene:FGSG_00095	1;1;1;1	337607;338374;338744;338865	338321;338493;338810;339306	+;+;+;+	1344	11
gene:FGSG_00096	1;1	339603;341126	341076;342663	-;-	3012	0
gene:FGSG_00097	1	343162	344910	-	1749	30
gene:FGSG_11674	1	346025	346561	-	537	0
gene:FGSG_11675	1;1	347287;347706	347656;348175	-;-	840	56
gene:FGSG_00099	1;1	349782;350010	349959;350659	+;+	828	4
gene:FGSG_00100	1;1	350845;351659	351606;352408	-;-	1512	685
gene:FGSG_00101	1;1;1;1;1;1	353828;354064;354136;354220;354725;354897	354017;354083;354172;354673;354792;355132	+;+;+;+;+;+	1005	20
gene:FGSG_00102	1;1;1	355268;356236;356702	356170;356654;357023	-;-;-	1644	74
gene:FGSG_00103	1	357516	359570	+	2055	20
gene:FGSG_00104	1;1	359965;360982	360957;362568	+;+	2580	0
gene:FGSG_00105	1	363335	364249	-	915	0
gene:FGSG_11676	1	366233	367135	+	903	35
gene:FGSG_11677	1	368001	370256	+	2256	2
gene:FGSG_11678	1;1;1	370632;370837;370975	370682;370943;371317	-;-;-	501	0
gene:FGSG_00107	1;1	372339;373705	373651;374050	+;+	1659	94
gene:FGSG_00108	1;1;1;1;1	374257;374569;375075;375300;375773	374513;375025;375236;375722;375955	-;-;-;-;-	1482	0
gene:FGSG_00109	1;1;1	376590;376720;376878	376670;376824;377723	+;+;+	1032	9
gene:FGSG_00110	1;1;1;1;1;1	381310;381400;381676;382059;382226;382388	381346;381614;381996;382169;382334;382482	+;+;+;+;+;+	888	0
gene:FGSG_00111	1;1;1	383256;383386;383675	383334;383620;383759	-;-;-	399	0
gene:FGSG_00112	1;1;1	385354;385479;385772	385444;385719;385850	+;+;+	411	0
gene:FGSG_11679	1	386069	386442	+	374	0
gene:FGSG_00114	1;1	388495;388869	388764;388898	+;+	300	2
gene:FGSG_00115	1;1;1	389177;389862;390322	389809;390095;390495	-;-;-	1041	10
gene:FGSG_00116	1;1;1;1	391529;391725;391848;392014	391669;391795;391961;393306	+;+;+;+	1619	1102
gene:FGSG_00117	1;1	393897;394259	394206;394659	+;+	711	806
gene:FGSG_00118	1;1	395220;395933	395877;396738	-;-	1464	637
gene:FGSG_00119	1	399162	400457	-	1296	0
gene:FGSG_00120	1;1;1	400819;400992;401263	400927;401209;402015	+;+;+	1080	0
gene:FGSG_00121	1;1;1	402778;403546;404259	403488;404202;404642	-;-;-	1752	0
gene:FGSG_00122	1	406966	407905	+	940	0
gene:FGSG_00123	1;1;1;1;1	408803;409001;409116;409286;409572	408856;409063;409226;409510;409592	+;+;+;+;+	474	0
gene:FGSG_00124	1	415140	416099	+	960	2
gene:FGSG_00125	1;1;1	416595;417095;417638	417047;417577;417694	-;-;-	993	91
gene:FGSG_00126	1;1;1	418705;419066;419531	419019;419479;421270	+;+;+	2469	30
gene:FGSG_00127	1;1	421350;423850	423587;423882	-;-	2271	4
gene:FGSG_00128	1;1	424444;425100	425050;425395	-;-	903	0
gene:FGSG_00129	1;1	426008;426493	426387;426625	-;-	513	10
gene:FGSG_00130	1;1;1	427185;428136;428770	428048;428689;429169	-;-;-	1818	16
gene:FGSG_00131	1	429856	430497	+	642	0
gene:FGSG_00132	1;1;1;1	430969;431275;431369;431662	431216;431299;431609;431924	+;+;+;+	777	0
gene:FGSG_11680	1;1	432893;434854	434731;435165	+;+	2151	0
gene:FGSG_11681	1;1;1;1;1	435418;435581;435952;436055;436361	435514;435888;435992;436299;436392	+;+;+;+;+	723	0
gene:FGSG_00134	1	437775	438188	+	414	0
gene:FGSG_00135	1;1	439360;439855	439734;439884	-;-	405	0
gene:FGSG_00136	1;1;1	442141;443323;443635	443271;443584;443931	-;-;-	1690	32
gene:FGSG_00137	1	447129	448022	-	894	8
gene:FGSG_00138	1;1;1;1;1	448489;448559;448812;448930;449447	448505;448764;448880;449399;449707	+;+;+;+;+	1023	54
gene:FGSG_00139	1;1	450147;450326	450274;451706	+;+	1509	471
gene:FGSG_00140	1	451965	455517	-	3553	24
gene:FGSG_11682	1	461256	461579	+	324	1
gene:FGSG_00141	1;1	462504;463224	462902;463364	-;-	540	0
gene:FGSG_00142	1;1;1;1;1;1;1;1	463780;464011;464096;465160;465428;465519;465687;465859	463962;464045;465109;465294;465470;465640;465804;466098	-;-;-;-;-;-;-;-	1890	0
gene:FGSG_00143	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	467267;467589;467789;467917;468226;468342;468593;468706;469059;469366;470033;470277;470662;470808;470989	467541;467742;467869;468175;468289;468539;468660;468810;469321;469983;470224;470613;470759;470939;471351	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3207	0
gene:FGSG_00144	1;1;1;1	471756;472106;472916;473877	471861;472869;473850;474147	-;-;-;-	2076	14
gene:FGSG_00145	1;1	477428;478651	478457;478796	-;-	1176	4
gene:FGSG_11683	1	479157	481364	+	2208	0
gene:FGSG_11684	1	481717	482682	+	966	39
gene:FGSG_00147	1;1;1;1;1;1	482789;484045;484516;484729;484959;485107	484010;484467;484671;484899;485053;485208	-;-;-;-;-;-	2169	6
gene:FGSG_00148	1;1;1;1;1	485697;485972;486115;486511;486799	485920;486055;486457;486741;487392	+;+;+;+;+	1476	0
gene:FGSG_11685	1;1	487872;488078	488024;488638	+;+	714	0
gene:FGSG_11686	1;1;1;1;1;1;1	488784;488955;489267;489372;489641;489827;490981	488905;489214;489321;489591;489774;490681;491032	+;+;+;+;+;+;+	1698	176
gene:FGSG_00150	1	491197	492371	-	1175	419
gene:FGSG_11687	1;1	493270;493579	493520;493747	+;+	420	2
gene:FGSG_00151	1;1	494186;494963	494866;495028	+;+	747	0
gene:FGSG_00152	1;1	495932;496268	496216;497734	-;-	1752	1417
gene:FGSG_00153	1;1;1;1;1;1	498651;499147;499605;499932;500527;501231	499099;499293;499878;500476;501008;501280	-;-;-;-;-;-	1947	57
gene:FGSG_00154	1;1	501984;502090	502044;502331	-;-	303	0
gene:FGSG_11688	1	502932	503841	+	910	0
gene:FGSG_11689	1	504509	505297	+	789	0
gene:FGSG_00156	1;1;1	506462;506863;507008	506718;506957;507018	+;+;+	363	0
gene:FGSG_00157	1	508635	508937	-	303	0
gene:FGSG_00158	1	509785	510231	-	447	2
gene:FGSG_11690	1;1;1;1;1;1	512086;512200;513033;514812;515191;515866	512141;512980;514762;515138;515811;516367	+;+;+;+;+;+	4017	54
gene:FGSG_11691	1	516898	517233	+	336	0
gene:FGSG_00160	1	519739	520283	-	545	0
gene:FGSG_00161	1;1	520670;520999	520940;522476	-;-	1749	0
gene:FGSG_00162	1;1;1;1;1	523296;523659;524191;524563;524769	523608;524142;524511;524702;524779	+;+;+;+;+	1269	0
gene:FGSG_00163	1;1;1;1;1;1	526618;527172;527251;527483;527602;527888	527091;527203;527426;527554;527821;528116	-;-;-;-;-;-	1203	2
gene:FGSG_11692	1	528585	529088	+	504	0
gene:FGSG_11693	1	530435	530906	+	472	0
gene:FGSG_00164	1	531344	531697	+	354	0
gene:FGSG_00165	1	532471	533589	+	1119	144
gene:FGSG_00166	1	533650	536478	-	2829	444
gene:FGSG_11694	1;1	536905;537618	537557;537657	-;-	693	10
gene:FGSG_11695	1	539202	539774	-	573	0
gene:FGSG_00168	1;1;1	542657;542862;543085	542793;543033;543266	+;+;+	491	4009
gene:FGSG_00169	1	543864	545131	+	1268	976
gene:FGSG_00170	1;1;1;1	546096;546273;546375;546527	546199;546322;546464;547273	+;+;+;+	991	2267
gene:FGSG_00171	1;1	547963;548575	548525;548758	+;+	747	0
gene:FGSG_11696	1;1;1;1;1;1;1	548759;548989;549321;550744;551024;552800;552976	548805;549248;550451;550923;552501;552923;554957	-;-;-;-;-;-;-	5202	2
gene:FGSG_00172	1;1;1	556354;556535;557044	556408;556986;557347	+;+;+	811	101
gene:FGSG_00173	1;1;1	558543;559262;559443	559209;559388;559758	+;+;+	1110	2930
gene:FGSG_00174	1	560638	561216	+	579	1272
gene:FGSG_00175	1;1	561329;561979	561931;562677	-;-	1302	7391
gene:FGSG_00176	1;1	563987;564454	564398;565912	+;+	1871	4009
gene:FGSG_00177	1;1;1	565963;566772;566970	566707;566913;567143	-;-;-	1061	2790
gene:FGSG_11697	1;1;1	568604;569080;570101	569030;570052;570281	+;+;+	1581	275
gene:FGSG_11698	1;1;1	570654;570744;570825	570695;570778;571480	+;+;+	733	786
gene:FGSG_20500	1	571898	572014	+	117	121
gene:FGSG_20501	1	572085	572188	+	104	99
gene:FGSG_11699	1;1	572718;572913	572864;573699	+;+	934	488
gene:FGSG_00179	1;1;1	573899;574000;574184	573947;574123;575060	-;-;-	1050	649
gene:FGSG_00180	1	577685	578776	-	1092	421
gene:FGSG_11700	1;1	579615;579803	579710;580444	-;-	738	64
gene:FGSG_00181	1;1	581429;581810	581717;581856	+;+	336	13
gene:FGSG_00182	1;1;1	585419;586676;586945	586630;586895;586988	-;-;-	1476	1765
gene:FGSG_00183	1;1;1;1;1	587305;587859;588459;588621;588837	587811;588370;588572;588803;588957	-;-;-;-;-	1437	313
gene:FGSG_00184	1	590571	591515	+	945	286
gene:FGSG_00185	1;1;1	591599;592212;592567	592111;592512;592946	-;-;-	1194	1594
gene:FGSG_00186	1	593308	594927	+	1620	2786
gene:FGSG_11701	1	595260	595931	-	672	415
gene:FGSG_11702	1;1	596902;597018	596967;597701	-;-	750	103
gene:FGSG_00188	1;1	600464;601469	601412;601506	-;-	987	1563
gene:FGSG_00189	1;1;1;1	603091;603568;604318;604481	603516;604265;604428;604622	-;-;-;-	1377	4282
gene:FGSG_00190	1;1	604947;605329	605272;605666	+;+	664	5624
gene:FGSG_11703	1;1;1;1	605800;610802;611248;614173	610755;611199;613817;614474	-;-;-;-	8226	1919
gene:FGSG_11704	1	614828	615154	-	327	2
gene:FGSG_00192	1;1	618487;619058	619001;620523	+;+	1981	4606
gene:FGSG_00193	1	620971	623397	+	2427	0
gene:FGSG_00194	1	623878	625473	-	1596	309
gene:FGSG_00195	1;1;1	626316;626536;626680	626484;626633;627753	+;+;+	1341	40
gene:FGSG_00196	1;1;1;1;1;1	629006;629596;630057;630728;631015;631122	629546;629989;630518;630822;631027;631128	-;-;-;-;-;-	1512	313
gene:FGSG_00197	1;1;1	632152;632254;633087	632201;633040;633587	+;+;+	1338	156
gene:FGSG_00198	1	633614	635374	-	1761	2
gene:FGSG_00199	1	636024	636650	+	627	0
gene:FGSG_00200	1;1;1	636761;637841;638660	637788;638554;638696	-;-;-	1779	4638
gene:FGSG_00201	1;1;1;1;1	640400;640588;640869;641154;641320	640534;640814;641103;641267;641805	+;+;+;+;+	1197	481
gene:FGSG_11705	1;1;1	643684;644428;644717	644312;644668;646495	-;-;-	2649	20
gene:FGSG_11706	1;1	646974;647165	647116;647195	-;-	174	24
gene:FGSG_11707	1	647702	648475	+	774	0
gene:FGSG_00203	1	648922	650928	+	2007	0
gene:FGSG_11708	1;1;1;1	651623;653272;653995;654253	653220;653934;654199;654480	-;-;-;-	2694	0
gene:FGSG_11709	1;1;1;1;1	654709;655105;655519;656132;656814	655059;655471;656086;656754;656845	-;-;-;-;-	1941	33
gene:FGSG_00205	1;1;1;1;1	657576;658164;658524;659296;660380	658097;658463;659118;660158;662398	+;+;+;+;+	4299	0
gene:FGSG_00206	1	663978	664370	+	393	38
gene:FGSG_11710	1;1;1;1;1;1	664711;664778;664867;665201;665294;665495	664725;664820;665157;665248;665433;665602	+;+;+;+;+;+	645	0
gene:FGSG_00207	1;1	665850;665910	665874;666373	-;-	489	635
gene:FGSG_00208	1;1;1;1;1	667026;668145;668366;669017;669345	668012;668309;668960;669297;669497	-;-;-;-;-	2181	0
gene:FGSG_11711	1	671304	671696	+	393	0
gene:FGSG_11712	1;1;1;1;1	672166;672335;673034;673233;673556	672234;672413;673115;673307;673613	+;+;+;+;+	363	0
gene:FGSG_00209	1;1;1	674519;674856;675322	674803;675267;676103	+;+;+	1479	545
gene:FGSG_00210	1;1	676458;676722	676668;676906	-;-	396	0
gene:FGSG_00211	1;1	677786;678522	678471;678693	-;-	858	0
gene:FGSG_00212	1	679463	680518	+	1056	64
gene:FGSG_00213	1	681049	681975	+	927	6
gene:FGSG_00214	1;1	682190;683082	682965;683106	-;-	801	24
gene:FGSG_00215	1	683947	684159	+	213	9
gene:FGSG_00216	1;1	685049;685257	685144;685736	+;+	576	0
gene:FGSG_00217	1;1;1;1	686426;686840;686918;687424	686790;686867;687376;688629	+;+;+;+	2058	362
gene:FGSG_00218	1;1;1;1	688733;689405;689576;689915	689358;689525;689868;690119	-;-;-;-	1245	0
gene:FGSG_00219	1;1;1;1;1	690751;691186;691759;691912;692625	691134;691710;691862;692257;692735	+;+;+;+;+	1470	8
gene:FGSG_00220	1;1	693544;695193	695145;695746	+;+	2156	0
gene:FGSG_00221	1	697333	697689	+	357	0
gene:FGSG_00222	1;1;1;1;1;1	697978;698329;698439;698870;699184;699386	698271;698390;698800;699135;699334;699411	-;-;-;-;-;-	1161	1
gene:FGSG_11713	1	699944	700414	-	471	2
gene:FGSG_11714	1;1	700658;701615	701546;701637	-;-	912	0
gene:FGSG_00224	1;1;1	701995;702518;704084	702467;704029;704264	-;-;-	2166	12
gene:FGSG_00225	1;1	705214;705279	705220;705592	-;-	321	51
gene:FGSG_00226	1;1;1;1	706206;706456;707537;707692	706402;707484;707643;707855	+;+;+;+	1497	88
gene:FGSG_00227	1;1;1;1;1;1	707991;708594;708800;709032;709264;710236	708546;708752;708983;709174;710181;710507	-;-;-;-;-;-	2232	120
gene:FGSG_11715	1;1	710924;711874	711816;711967	-;-	987	2
gene:FGSG_11716	1;1;1	712183;713316;713576	713263;713526;714757	-;-;-	2474	333
gene:FGSG_00229	1;1;1;1	715952;716064;716392;717611	716013;716327;717550;717694	+;+;+;+	1569	47
gene:FGSG_00230	1	718160	718543	-	384	0
gene:FGSG_11717	1	719988	720353	+	366	0
gene:FGSG_11718	1	720581	721053	+	473	0
gene:FGSG_00231	1;1;1	722451;722668;723322	722621;723270;723615	+;+;+	1068	0
gene:FGSG_00232	1;1	723710;724588	724369;724647	-;-	720	12
gene:FGSG_11719	1	725182	725859	+	678	0
gene:FGSG_00233	1;1	726873;726975	726897;727342	-;-	393	0
gene:FGSG_00234	1;1	728202;729198	729136;729312	-;-	1050	2
gene:FGSG_00235	1;1	729757;729904	729828;730944	+;+	1113	22
gene:FGSG_00236	1;1;1;1	731602;731817;732606;732731	731766;732557;732679;732791	+;+;+;+	1041	10
gene:FGSG_00237	1;1;1;1	733233;733495;733626;733750	733429;733561;733699;734836	+;+;+;+	1425	38
gene:FGSG_11720	1;1;1;1	734949;735797;736004;736690	735746;735961;736558;736704	-;-;-;-	1533	82
gene:FGSG_11721	1	737065	737970	-	906	26
gene:FGSG_11722	1;1;1	738316;738817;738941	738755;738886;739345	-;-;-	915	2
gene:FGSG_11723	1	739590	739928	+	339	0
gene:FGSG_00239	1	743891	744214	+	324	107
gene:FGSG_11724	1;1	744836;745267	745210;745812	+;+	921	111
gene:FGSG_00240	1	747857	748228	+	372	307
gene:FGSG_11725	1	750760	751329	+	570	0
gene:FGSG_11726	1	751908	752633	+	726	0
gene:FGSG_11727	1;1	753183;753666	753586;753825	-;-	564	0
gene:FGSG_00242	1	754190	755494	+	1305	0
gene:FGSG_11728	1	756801	757418	+	618	0
